bill_number,bill_id,session_id,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
892574,1400,AB1,6,Failed,2018-02-01,"Transportation funding.","An act to amend Sections 13975, 14500, 14526.5, and 16965 of, to add Sections 14033, 14526.7, and 16321 to, to add Part 5.1 (commencing with Section 14460) to Division 3 of Title 2 of, and to repeal Section 14534.1 of, the Government Code, to amend Section 39719 of the Health and Safety Code, to amend Section 21080.37 of, and to add Division 13.6 (commencing with Section 21200) to, the Public Resources Code, to amend Section 99312.1 of, and to add Section 99314.9 to, the Public Utilities Code, to amend Sections 6051.8, 6201.8, 7360, 8352.4, 8352.5, 8352.6, and 60050 of the Revenue and Taxation Code, to amend Sections 183.1, 2192, 2192.1, and 2192.2 of, to add Sections 820.1, 2103.1, and 2192.4 to, and to add Chapter 2 (commencing with Section 2030) to Division 3 of, the Streets and Highways Code, and to add Sections 9250.3, 9250.6, and 9400.5 to the Vehicle Code, relating to transportation, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB1/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB1
892448,1400,AB2,6,Failed,2018-02-01,"Hate crimes: peace officers.","An act to add Section 422.555 to the Penal Code, relating to hate crimes.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB2/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB2
892489,1400,AB3,2,Engrossed,2017-06-01,"Firearms: age restrictions.","An act to amend Sections 27510, 29182, and 30300 of the Penal Code, relating to firearms.",0,,2018-08-16,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB3/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB3
892458,1400,AB4,4,Passed,2017-06-28,"Voter notification.","An act to add Section 2155.4 to the Elections Code, relating to elections.",0,,2017-06-28,"Chaptered by Secretary of State - Chapter 29, Statutes of 2017.",https://legiscan.com/CA/bill/AB4/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB4
892476,1400,AB5,6,Failed,2018-02-01,"Employers: Opportunity to Work Act.","An act to add Section 559 to the Labor Code, relating to employers.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB5/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB5
892557,1400,AB6,2,Engrossed,2017-04-20,"Local ballot measures: statement of the measure.","An act to amend Section 13119 of the Elections Code, relating to elections, and declaring the urgency thereof, to take effect immediately.",1796,"Senate Elections and Constitutional Amendments",2018-06-25,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on E. & C.A.",https://legiscan.com/CA/bill/AB6/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB6
892506,1400,AB7,4,Passed,2017-10-13,"Firearms: open carry.","An act to amend Section 26400 of, to amend the heading of Article 1 (commencing with Section 26400) of Chapter 7 of Division 5 of Title 4 of Part 6 of, and to amend the heading of Chapter 7 (commencing with Section 26400) of Division 5 of Title 4 of Part 6 of, the Penal Code, relating to firearms.",0,,2017-10-13,"Chaptered by Secretary of State - Chapter 734, Statutes of 2017.",https://legiscan.com/CA/bill/AB7/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB7
892596,1400,AB8,6,Failed,2018-02-01,"Mountain lions: depredation permits.","An act to amend Section 4803 of the Fish and Game Code, relating to mountain lions.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB8/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB8
892444,1400,AB9,6,Failed,2018-02-01,"Sales and use taxes: exemption: sanitary napkins: tampons: menstrual sponges and menstrual cups.","An act to add Section 6363.10 to the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB9/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB9
892450,1400,AB10,4,Passed,2017-10-12,"Feminine hygiene products: public school restrooms.","An act to add Section 35292.6 to the Education Code, relating to feminine hygiene products.",0,,2017-10-12,"Chaptered by Secretary of State - Chapter 687, Statutes of 2017.",https://legiscan.com/CA/bill/AB10/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB10
