people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia
1495,"Joel Anderson",Joel,,Anderson,,,2,R,2,Sen,SD-038,493316,16716,,Joel_Anderson
1496,"Juan Arambula",Juan,,Arambula,,,1,D,1,Rep,HD-031,238098,28997,,Juan_Arambula
1498,"Jim Beall",Jim,,Beall,Jr.,,1,D,2,Sen,SD-015,776647,58229,,James_Beall_Jr.
1500,"Tom Berryhill",Tom,,Berryhill,,,2,R,2,Sen,SD-008,12388609,9681,,Tom_Berryhill
1504,"Steven Bradford",Steven,,Bradford,,,1,D,2,Sen,SD-035,357173,56752,,Steven_Bradford
1507,"Anna Caballero",Anna,M.,Caballero,,,1,D,2,Sen,SD-012,13008569,58583,,Anna_Caballero
1516,"Kevin de Leon",Kevin,,"de Leon",,,1,D,2,Sen,SD-024,2322930,59926,,Kevin_de_Le%C3%B3n
1525,"Jean Fuller",Jean,,Fuller,,,2,R,2,Sen,SD-016,258108,57656,,Jean_Fuller
1527,"Ted Gaines",Ted,,Gaines,,,2,R,2,Sen,SD-001,13008426,59841,,Ted_Gaines
1528,"Cathleen Galgiani",Cathleen,,Galgiani,,,1,D,2,Sen,SD-005,21639,57629,,Cathleen_Galgiani
1535,"Edward Hernandez",Edward,P.,Hernandez,,,1,D,2,Sen,SD-022,363200,69507,,Edward_Hernandez
1536,"Jerry Hill",Jerry,A.,Hill,,,1,D,2,Sen,SD-013,6485659,81552,,Gerald_Hill
1546,"Tony Mendoza",Tony,,Mendoza,,,1,D,2,Sen,SD-032,13008740,56753,,Tony_Mendoza_(California)
1548,"William Monning",William,W.,Monning,,Bill,1,D,2,Sen,SD-017,6485702,104370,,Bill_Monning
1552,"Jim Nielsen",Jim,,Nielsen,,,2,R,2,Sen,SD-004,13008412,104331,,Jim_Nielsen
1556,"Anthony Portantino",Anthony,J.,Portantino,,,1,D,2,Sen,SD-025,22560,69513,,"Anthony_Portantino,_Jr."
1561,"Nancy Skinner",Nancy,C.,Skinner,,,1,D,2,Sen,SD-009,81851,104350,,Nancy_Skinner
10959,"Toni Atkins",Toni,,Atkins,,,1,D,2,Sen,SD-039,145632,70372,,Toni_Atkins_(California)
