bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
892443,631827,2017-04-24,Assembly,"Do pass as amended, and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",7,3,0,0,10
892444,645200,2017-05-15,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",8,1,1,0,10
892445,634380,2017-04-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",10,2,1,0,13
892445,651696,2017-05-26,Assembly,"Do pass as amended",12,4,1,0,17
892445,655885,2017-05-31,Assembly,"AB 33 QUIRK Assembly Third Reading",58,17,5,0,80
892446,604222,2017-03-15,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Human Services]",7,0,0,0,7
892446,631571,2017-04-25,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations] with the recommendation: To Consent Calendar",5,0,0,0,5
892446,644259,2017-05-15,Senate,"Placed on suspense file",7,0,0,0,7
892446,650709,2017-05-25,Senate,"Do pass",7,0,0,0,7
892446,655754,2017-05-31,Senate,"Special Consent SB12 Beall",40,0,0,0,40
892446,669158,2017-06-27,Assembly,"Do pass as amended, and be re-referred to the Committee on [Higher Education] with recommendation: To Consent Calendar",7,0,0,0,7
892446,672087,2017-07-11,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",13,0,0,0,13
892446,674571,2017-09-01,Assembly,"Do pass as amended",16,0,1,0,17
892446,675947,2017-09-13,Assembly,"SB 12 Beall Senate Third Reading By GIPSON",77,0,2,0,79
892446,676096,2017-09-14,Senate,"Unfinished Business SB12 Beall et al. Concurrence",40,0,0,0,40
892447,604249,2017-03-15,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",7,0,0,0,7
892447,617397,2017-04-03,Senate,"Placed on suspense file",7,0,0,0,7
892448,603182,2017-03-14,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",2,4,1,0,7
892448,603183,2017-03-14,Assembly,Reconsideration,7,0,0,0,7
892449,580877,2017-02-09,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Rules]",7,2,0,0,9
892449,618547,2017-04-04,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",9,1,1,0,11
892449,647893,2017-05-22,Senate,"Placed on suspense file",7,0,0,0,7
892449,650614,2017-05-25,Senate,"Do pass as amended",5,2,0,0,7
892449,654445,2017-05-30,Senate,"Senate 3rd Reading SB57 Stern et al. Urgency Clause",24,9,7,0,40
892449,654446,2017-05-30,Senate,"Senate 3rd Reading SB57 Stern et al. Urgency Clause Reconsider",40,0,0,0,40
892450,605262,2017-03-15,Assembly,"Do pass and be re-referred to the Committee on [Housing and Community Development]",6,1,0,0,7
892450,620070,2017-04-05,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
892450,651835,2017-05-26,Assembly,"Do pass as amended",13,4,0,0,17
892450,656075,2017-05-31,Assembly,"AB 10 GARCIA, C. Assembly Third Reading",68,6,6,0,80
