bill_id,people_id,position
892443,16301,1
892444,1495,3
892444,14098,5
892444,14101,7
892444,14104,1
892444,14105,9
892444,14109,10
892444,14112,12
892444,16278,4
892444,16293,11
892444,16295,13
892444,16296,14
892444,16297,15
892444,16300,16
892444,17701,8
892444,18068,18
892444,18074,6
892444,18076,2
892444,18080,17
892445,14119,1
892446,1498,1
892446,16288,3
892446,18063,2
892447,14134,1
892447,18079,2
892448,16284,3
892448,16293,4
892448,16298,1
892448,17428,2
892449,14125,7
892449,16094,5
892449,16304,4
892449,16306,2
892449,18068,6
892449,18070,1
892449,18076,3
892450,10972,8
892450,14098,3
892450,14101,4
892450,14104,1
892450,14105,5
892450,14109,6
892450,16282,2
892450,18068,9
892450,18080,7
892451,17671,1
892452,14101,1
892453,14093,2
892453,14117,1
892453,18071,3
892454,16301,1
892455,1546,5
892455,14094,2
892455,14101,3
892455,14107,4
892455,14110,1
892455,14219,6
892456,10968,1
892457,16309,1
892458,14123,1
892459,1527,1
892460,1507,1
892461,10970,1
892462,16033,2
892462,16284,1
892463,16286,1
892464,1495,8
892464,1525,18
892464,1527,19
892464,1552,3
892464,10959,9
892464,11921,2
892464,14091,12
892464,14094,13
892464,14097,15
892464,14099,17
892464,14104,21
892464,14112,1
892464,14117,4
892464,14123,5
892464,14125,32
892464,16048,30
892464,16278,10
892464,16279,14
892464,16287,20
892464,16290,23
892464,16293,24
892464,16295,25
892464,16300,28
892464,16301,29
892464,16302,7
892464,16305,11
892464,16309,27
892464,16316,26
892464,18063,16
892464,18076,6
892464,18080,31
892464,18081,22
892465,1536,1
892465,14219,3
892465,16286,2
892465,16310,4
892466,16284,1
892467,14104,2
892467,14219,1
892468,1546,1
892469,14098,1
892469,14108,2
892469,18074,3
892470,1536,4
892470,14105,1
892470,14110,2
892470,14219,5
892470,16282,6
892470,16304,3
892470,18065,7
892471,16279,2
892471,16305,1
892472,1527,1
892473,16302,1
892474,1528,2
892474,14103,1
892474,16278,4
892474,16286,6
892474,16295,7
892474,17428,3
892474,19330,5
892475,10969,1
892476,14121,4
892476,16033,1
892476,16283,3
892476,18065,2
892477,14134,1
892477,18079,2
892478,1498,4
892478,1504,6
892478,1548,10
892478,1561,11
892478,10959,3
892478,10968,8
892478,10969,9
892478,10972,12
892478,14092,14
892478,14094,5
892478,14109,7
892478,14119,17
892478,14120,21
892478,14121,18
892478,14124,19
892478,16033,16
892478,16282,15
892478,16304,2
892478,16306,1
892478,18068,13
892478,18081,20
892479,1498,1
892479,1536,6
892479,1546,9
892479,1548,10
892479,1561,13
892479,10959,3
892479,10972,14
892479,14103,2
892479,14115,11
892479,16285,4
892479,16294,7
892479,16299,12
892479,16306,5
892479,16308,8
892479,18068,15
892480,14093,3
892480,14110,4
892480,14115,6
892480,14119,7
892480,14219,1
892480,16094,2
892480,16294,5
892480,17429,8
892481,16299,1
892482,1507,9
892482,14092,6
892482,14093,7
892482,14094,8
892482,14096,12
892482,14098,14
892482,14100,17
892482,14101,18
892482,14103,19
892482,14104,2
892482,14105,24
892482,14107,27
892482,14108,10
892482,14109,29
892482,14110,31
892482,14113,34
892482,14115,35
892482,14116,36
892482,14118,40
892482,14119,39
892482,14120,41
892482,14121,46
892482,14124,48
892482,14219,37
892482,16033,25
892482,16087,43
892482,16094,16
892482,16280,1
892482,16283,13
892482,16284,15
892482,16286,21
892482,16288,22
892482,16291,28
892482,16294,33
892482,16297,38
892482,16299,45
892482,16301,47
892482,16303,49
892482,18064,42
892482,18065,30
892482,18067,3
892482,18072,26
892482,18073,5
892482,18075,32
892482,18077,20
892482,18078,44
892482,18079,11
892482,18081,23
892482,19459,4
892483,14120,1
892484,16087,1
892485,11612,1
892485,16286,2
892486,1498,4
892486,1504,5
892486,1516,6
892486,1528,8
892486,1535,10
892486,1536,12
892486,1546,17
892486,1548,19
892486,1556,22
892486,1561,24
892486,10959,3
892486,10968,14
892486,10969,18
892486,10970,21
892486,10972,26
892486,11612,13
892486,14130,1
892486,14134,23
892486,16285,7
892486,16304,2
892486,16306,11
892486,16307,15
892486,16308,16
892486,17701,9
892486,18068,27
892486,18070,25
892486,18082,20
892487,11921,1
892488,14094,2
892488,14121,6
892488,14219,5
892488,16296,1
892488,19487,3
892488,19627,4
892489,14094,1
892490,14098,4
892490,14107,6
892490,14113,10
892490,14121,13
892490,16087,11
892490,16283,3
892490,16288,5
892490,16307,8
892490,16310,14
892490,18064,1
892490,18065,7
892490,18067,2
892490,18075,9
892490,18078,12
892490,18080,15
892491,18065,1
892492,14098,3
892492,14101,1
892492,14104,5
892492,14115,7
892492,16278,2
892492,16285,4
892492,16293,6
892492,18070,8
892493,18082,1
892494,1535,1
892495,16279,1
892496,1528,1
892497,1516,1
892498,14121,1
892499,1498,7
892499,1507,11
892499,1516,1
892499,1535,19
892499,1548,27
892499,1556,3
892499,1561,30
892499,10959,6
892499,11612,21
892499,14092,9
892499,14094,10
892499,14104,17
892499,14107,20
892499,14108,12
892499,14110,23
892499,14115,28
892499,14121,31
892499,14122,32
892499,16033,18
892499,16282,13
892499,16283,14
892499,16285,15
892499,16286,2
892499,16296,25
892499,16304,5
892499,16308,26
892499,18064,29
892499,18065,22
892499,18067,4
892499,18073,8
892499,18075,24
892499,18077,16
892500,14123,2
892500,16297,1
892501,10972,3
892501,16094,2
892501,16282,4
892501,16285,1
892501,16306,5
892502,14130,1
892503,1546,1
892503,16279,3
892503,16305,2
892503,16309,4
892504,14219,1
892505,14094,1
892505,14098,2
892505,14109,3
892505,16293,4
892505,16303,5
892506,1556,2
892506,16288,1
892506,18068,3
892507,10969,9
892507,14092,2
892507,14094,1
892507,14101,11
892507,14109,4
892507,14119,5
892507,14121,6
892507,16282,3
892507,16304,7
892507,16306,8
892507,18068,10
892507,18077,12
892507,18081,13
892508,16301,1
892509,14119,1
892510,14122,1
892511,14107,1
892512,16301,1
892513,1535,6
892513,14118,8
892513,16282,2
892513,16286,4
892513,16288,5
892513,16296,3
892513,16297,7
892513,16299,1
892514,1528,1
892515,14117,1
892516,1498,5
892516,1504,7
892516,1528,9
892516,1536,13
892516,1546,18
892516,1561,21
892516,10959,1
892516,10969,19
892516,10972,23
892516,11612,14
892516,14092,2
892516,14094,6
892516,14115,4
892516,14130,15
892516,14134,20
892516,16033,11
892516,16282,3
892516,16285,8
892516,16294,17
892516,16301,22
892516,16306,12
892516,18065,16
892516,18068,24
892516,18081,10
892517,1527,1
892518,10968,1
892518,18070,2
892519,1561,6
892519,16094,2
892519,16304,1
892519,16306,4
892519,16308,5
892519,18077,3
892520,1556,1
892521,16316,1
892522,1561,4
